epoch accuracy  loss     val_acc	 val_loss
322   0.8552    0.4210   0.8391      0.4582
323   0.8572    0.4161   0.8391      0.4581
324   0.8569    0.4201   0.8395      0.4580
325   0.8561    0.4218   0.8390      0.4579
326   0.8524    0.4238   0.8395      0.4578
327   0.8542    0.4253   0.8402      0.4577
328   0.8565    0.4208   0.8392      0.4576
329   0.8560    0.4185   0.8387      0.4575
330   0.8561    0.4182   0.8391      0.4574
331   0.8555    0.4202   0.8387      0.4573
332   0.8561    0.4196   0.8388      0.4572
333   0.8562    0.4182   0.8386      0.4571
334   0.8546    0.4187   0.8392      0.4571
335   0.8571    0.4195   0.8400      0.4570
336   0.8549    0.4240   0.8390      0.4569
337   0.8545    0.4257   0.8395      0.4568
338   0.8562    0.4194   0.8395      0.4567
339   0.8537    0.4256   0.8396      0.4566
340   0.8562    0.4189   0.8390      0.4564
341   0.8557    0.4172   0.8393      0.4564
342   0.8552    0.4181   0.8401      0.4564
343   0.8565    0.4192   0.8394      0.4562
344   0.8584    0.4161   0.8401      0.4563
345   0.8554    0.4180   0.8397      0.4561
346   0.8527    0.4227   0.8397      0.4560
347   0.8567    0.4172   0.8392      0.4559
348   0.8574    0.4176   0.8401      0.4558
349   0.8592    0.4151   0.8402      0.4558
350   0.8563    0.4217   0.8402      0.4557
351   0.8559    0.4209   0.8399      0.4556
352   0.8597    0.4101   0.8390      0.4555
353   0.8570    0.4190   0.8395      0.4554
354   0.8554    0.4219   0.8401      0.4553
355   0.8567    0.4195   0.8402      0.4552
356   0.8552    0.4210   0.8404      0.4551
357   0.8543    0.4242   0.8396      0.4550
358   0.8560    0.4198   0.8401      0.4550
359   0.8552    0.4198   0.8405      0.4549
360   0.8575    0.4140   0.8401      0.4548
361   0.8550    0.4210   0.8400      0.4548
362   0.8550    0.4222   0.8401      0.4547
363   0.8546    0.4167   0.8398      0.4546
364   0.8541    0.4235   0.8401      0.4545
365   0.8559    0.4150   0.8399      0.4544
366   0.8553    0.4176   0.8402      0.4544
367   0.8578    0.4171   0.8400      0.4542
368   0.8573    0.4160   0.8398      0.4541
369   0.8577    0.4130   0.8401      0.4541
370   0.8549    0.4211   0.8397      0.4539
371   0.8553    0.4223   0.8407      0.4539
372   0.8572    0.4167   0.8403      0.4539
373   0.8597    0.4119   0.8399      0.4537
374   0.8575    0.4198   0.8404      0.4537
375   0.8558    0.4156   0.8409      0.4536
376   0.8574    0.4164   0.8407      0.4535
377   0.8595    0.4103   0.8406      0.4534
378   0.8566    0.4132   0.8403      0.4533
379   0.8568    0.4146   0.8399      0.4533
380   0.8566    0.4177   0.8405      0.4532
381   0.8576    0.4147   0.8409      0.4532
382   0.8568    0.4158   0.8404      0.4531
383   0.8547    0.4197   0.8402      0.4530
384   0.8570    0.4126   0.8399      0.4529
385   0.8559    0.4195   0.8408      0.4528
386   0.8584    0.4135   0.8402      0.4527
387   0.8571    0.4155   0.8410      0.4527
388   0.8565    0.4199   0.8404      0.4526
389   0.8564    0.4195   0.8407      0.4526
390   0.8575    0.4160   0.8408      0.4525
391   0.8577    0.4175   0.8412      0.4524
392   0.8579    0.4164   0.8409      0.4523
393   0.8600    0.4090   0.8408      0.4522
394   0.8560    0.4141   0.8407      0.4522
395   0.8599    0.4125   0.8401      0.4521
396   0.8594    0.4107   0.8403      0.4521
397   0.8568    0.4137   0.8399      0.4519
398   0.8578    0.4103   0.8405      0.4519
399   0.8583    0.4141   0.8408      0.4518
400   0.8583    0.4127   0.8408      0.4517
