epoch	accuracy  loss      val_accuracy  val_loss
322     0.9959    0.0134    0.8876      1.6332
323     0.9949    0.0143    0.8840      1.6865
324     0.9952    0.0153    0.8834      1.7114
325     0.9939    0.0203    0.8879      1.6619
326     0.9964    0.0127    0.8863      1.6267
327     0.9977    0.0084    0.8843      1.6467
328     0.9967    0.0104    0.8854      1.6577
329     0.9957    0.0138    0.8843      1.6417
330     0.9962    0.0104    0.8887      1.6383
331     0.9964    0.0118    0.8861      1.6876
332     0.9966    0.0113    0.8850      1.6966
333     0.9935    0.0188    0.8894      1.6836
334     0.9964    0.0119    0.8818      1.7384
335     0.9933    0.0193    0.8871      1.6697
336     0.9941    0.0195    0.8843      1.7169
337     0.9968    0.0101    0.8841      1.7124
338     0.9965    0.0109    0.8882      1.6629
339     0.9942    0.0164    0.8842      1.7819
340     0.9945    0.0175    0.8861      1.7328
341     0.9957    0.0121    0.8848      1.6655
342     0.9941    0.0171    0.8863      1.7263
343     0.9944    0.0190    0.8864      1.7838
344     0.9955    0.0139    0.8850      1.6875
345     0.9960    0.0130    0.8908      1.6981
346     0.9958    0.0127    0.8877      1.7257
347     0.9956    0.0126    0.8827      1.8151
348     0.9951    0.0147    0.8879      1.7318
349     0.9963    0.0102    0.8792      1.7861
350     0.9943    0.0200    0.8844      1.7583
351     0.9969    0.0106    0.8863      1.8328
352     0.9947    0.0160    0.8869      1.8177
353     0.9962    0.0116    0.8840      1.7814
354     0.9963    0.0119    0.8884      1.7544
355     0.9969    0.0092    0.8814      1.7901
356     0.9949    0.0147    0.8899      1.7385
357     0.9955    0.0140    0.8811      1.8455
358     0.9943    0.0186    0.8889      1.7941
359     0.9946    0.0179    0.8747      1.8421
360     0.9937    0.0177    0.8868      1.7405
361     0.9949    0.0156    0.8835      1.7714
362     0.9954    0.0160    0.8859      1.8364
363     0.9924    0.0234    0.8854      1.7919
364     0.9971    0.0096    0.8853      1.8337
365     0.9965    0.0118    0.8863      1.7801
366     0.9963    0.0107    0.8854      1.8443
367     0.9956    0.0126    0.8850      1.8316
368     0.9970    0.0111    0.8846      1.8281
369     0.9970    0.0090    0.8876      1.8323
370     0.9977    0.0080    0.8870      1.7551
371     0.9955    0.0150    0.8884      1.8115
372     0.9971    0.0089    0.8881      1.8435
373     0.9965    0.0123    0.8847      1.7739
374     0.9930    0.0227    0.8873      1.7792
375     0.9981    0.0063    0.8851      1.8158
376     0.9950    0.0168    0.8878      1.8042
377     0.9970    0.0087    0.8856      1.7710
378     0.9947    0.0174    0.8801      1.8912
379     0.9958    0.0135    0.8882      1.7980
380     0.9958    0.0133    0.8793      1.9003
381     0.9954    0.0135    0.8817      1.9207
382     0.9951    0.0144    0.8905      1.8420
383     0.9964    0.0127    0.8857      1.8285
384     0.9968    0.0108    0.8820      1.8792
385     0.9957    0.0127    0.8822      1.9745
386     0.9939    0.0204    0.8843      1.8216
387     0.9950    0.0164    0.8848      1.8712
388     0.9972    0.0082    0.8870      1.8745
389     0.9943    0.0168    0.8851      1.8695
390     0.9972    0.0088    0.8852      1.9398
391     0.9948    0.0175    0.8864      1.8802
392     0.9965    0.0105    0.8866      1.9428
393     0.9956    0.0141    0.8894      1.8765
394     0.9958    0.0160    0.8839      1.9086
395     0.9970    0.0098    0.8880      1.8524
396     0.9968    0.0108    0.8862      1.9224
397     0.9937    0.0213    0.8876      1.8586
398     0.9935    0.0205    0.8891      1.9155
399     0.9960    0.0121    0.8815      2.0114
400     0.9952    0.0169    0.8882      1.8598
